year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	1	381	Manhattan	40	1532869	Merrill, Frank	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532869	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	4	 	2	1	7	0.143	2	90	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	30	1532865	Noto, Gian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532865	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	2	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	5	1532863	Garvey, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532863	Jr	1	1	1	1	1	 	1	4	0.250	2	0.500	 	 	 	 	5	 	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	18	1532862	Fowler, Jack	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532862	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	1	5	0.200	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	8	1532860	Abiog, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532860	Jr	1	0	1	 	 	 	0	1	""	 	""	 	 	 	2	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	4	1532859	Stutler, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532859	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	36	1437452	Gitlitz, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1437452	Sr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	4	2	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	12	1437451	Rogers, Jimmy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1437451	Sr	1	1	1	1	 	1	1	3	""	1	0.333	 	 	 	1	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	8	1765070	Morris, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765070	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	11	1765071	Shanks, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765071	Jr	1	1	1	1	1	2	3	5	0.200	3	0.600	 	 	 	 	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	14	1423801	Brown, Carter	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423801	Sr	1	1	1	1	1	1	2	4	0.250	2	0.500	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
