game_id	section_id	player_id	player_name	player_url	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4003564	0	1545238	Withers, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1545238	""	""	""	""	1	1	""	""	9/	""	""	14	19	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1558357	Pearson, Johnny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1558357	""	2	""	2	5	4	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423805	Kapinos, Kacy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423805	""	""	""	""	""	""	""	""	1	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765068	Maccani, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765068	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1559285	Bailey, Lucas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1559285	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765059	Borges, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765059	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765058	Best, Noah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765058	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652325	Hodgins, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652325	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423809	Pfister, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423809	""	""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0		TEAM		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0		Totals		""	8	4	12	38	21	1	""	28	12	8	14	19	2	90	3,600	7	5	""	""	""	""	""	12	13	0.923/
4003564	1	1764102	Williamson, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764102	A	""	1	1	""	""	""	""	3	""	1	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764107	Barry, Finn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764107	M	""	""	""	3	1	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536899	Stone, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536899	D	""	""	""	""	""	""	""	3	""	1	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1647757	Moore, Jonah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647757	A	2	1	3	3	2	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764103	VanGalen, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764103	A	1	1	2	2	2	1/	""	1	3	""	""	""	1	30	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764116	Widhelm, Parker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764116	D	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1647753	McDermott, Reilly	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647753	GK	""	""	""	""	""	""	""	""	1	""	""	""	""	""	3,600/	8	13	""	1/	""	""	""	""	""	""
4003564	1	1536901	Primeau, Scott	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536901	M	2	1	3	3	2	""	""	1	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536905	Farnish, Tommy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536905	D	""	""	""	""	""	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764105	Scott, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764105	M	""	""	""	1	1	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536886	Yetman, Ben	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536886	""	""	""	""	""	""	""	""	1	1	""	""	""	1	30	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536871	Hancock, Chase	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536871	""	1	""	1	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536906	Kipke, Conner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536906	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764111	Pinsoneault, Gus	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764111	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536867	Blaze, Hil	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536867	""	1	""	1	1	1	""	""	3	""	""	5	17	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536879	McDaid, J.J.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536879	""	""	""	""	""	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536861	Vandenberg, Jon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536861	""	""	""	""	""	""	""	""	1	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536870	Kane, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536870	""	""	""	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1764106	Smith, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1764106	""	""	""	""	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536878	Courtney, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536878	""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	1	1536860	Geran, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536860	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
